ID	citation	title	year	source	doi	link
166425			1919	Mitt. naturf. Ges. Bern: 63 ('1918')		
166515			1911	C. r. hebd. Séanc. Acad. Sci., Paris 152: 206		
166577			1886	Verh. zool.-bot. Ges. Wien 35: 370		
166609			1918	Beih. bot. Zbl., Abt. 1 35: 521		
166643			1895	Bull. Torrey bot. Club 22(7): 364		
166699			1875	Beitr. Biol. Pfl. 1(1): 56		
166766			1892	in Patouillard & Lagerheim, Bull. Soc. mycol. Fr. 8(3): 123		
166982			1854	Klotzschii Herb. Viv. Mycol. 19: no. 1880		
166902			1860	Fungi europ. exsicc., Edn nova, Ser. sec., Cent. 3: no. 291		
167215			1857	in Rabenhorst, Klotzschii Herb. Viv. Mycol., Edn Nov, Ser. Sec., Cent. 5: no. 490		
167288			1874	Fungi austro-africani: no. 942		
167325			1855	Ber. Bekanntm. Verhandl. Königlich Preuss. Akad. Wissensch. Berlin 3: 330		
167844			1901	Bih. K. svenska VetenskAkad. Handl., Afd. 3 26(no. 14): 14		
167949			1916	in Falck, Mykol. Untersuch. Ber. 1: 243		
168281			1906	Bot. Gaz. 42: 221		
168645			1907	Bull. Torrey bot. Club 34: 80		
168746			1854	C. r. hebd. Séanc. Acad. Sci., Paris 38: 1103		
168759			1896	in Hennings, Hedwigia 35(4): 210		
168773			1895	Hedwigia 34: 214		
168943			1847	Bot. Ztg. 5: 314		
168978			1928	G. bot. ital., n.s. 35: 130		
169225			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 190		
169048			1919	Natura, Milano 10: 168-180		
169105			1918	Beih. bot. Zbl., Abt. 1 35: 534		
169142			1912	Annls mycol. 10(5): 437		
169244			1908	Bull. Torrey bot. Club 35: 362		
169327			1928	G. bot. ital., n.s. 35: 129		
169432			1863	Fungi rhenani exsic., fasc. 1: no. 25		
169401			1920	J. Agric. Res., Washington 19: 118		
170345			1907	Mem. Dept. Agric. India 1(5): 73		
170467			1907	Memoirs of the Dept. Agric. India, Bot. Ser. 1(5): 82		
170512			1919	Annals Conservat. Bot. Genève 21: 9		
170621			1872	Monogr. Saprolegn.: 13		
170660			1863	Fungi rhenani exsic., fasc. 1: no. 35		
170685			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 154		
