ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	kingdom	phylum	class	order	family	genus	species
120643		120643	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120643	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	hydnosporum
120652		120652	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120652	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Saprolegnia	hypogyna
120694		120694	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120694	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	ipomoeae-panduratae
120746		120746	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120746	Chromista	Oomycota	Peronosporea	Saprolegniales	Leptolegniaceae	Aphanomyces	laevis
120866		120866	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120866	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	meadii
120896		120896	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120896	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Bremia	microspora
121106		121106	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=121106	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	perniciosum
121202		121202	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=121202	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	potentillae-anserinae
121203		121203	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=121203	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	potentillae-reptantis
121416		121416	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=121416	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	sysymbrii-officinalis
121480		121480	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=121480	Chromista	Cercozoa	Phytomyxea	Plasmodiophorida	Plasmodiophoridae	Spongospora	subterranea
