ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
464313	Haptoglossa erumpens	Glockling	sp.	Haptoglossa	erumpens		464313	100	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=464313
464314	Haptoglossa dickii	Glockling	sp.	Haptoglossa	dickii		464314	104	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=464314
466193	Haptoglossa heteromorpha	Glockling & Beakes	sp.	Haptoglossa	heteromorpha		466193	750	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466193
466263	Aplanochytrium yorkensis	(F.O. Perkins) C.A. Leander & D. Porter	sp.	Aplanochytrium	yorkensis		466263	442	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466263
466264	Aplanochytrium minuta	(S.W. Watson & Raper) C.A. Leander & D. Porter	sp.	Aplanochytrium	minuta		466264	442	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466264
466265	Aplanochytrium saliens	(J.A. Quick) C.A. Leander & D. Porter	sp.	Aplanochytrium	saliens		466265	442	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466265
466266	Aplanochytrium haliotidis	(S.M. Bower) C.A. Leander & D. Porter	sp.	Aplanochytrium	haliotidis		466266	442	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466266
466267	Aplanochytrium thais	(B.A. Cox & Mackin) C.A. Leander & D. Porter	sp.	Aplanochytrium	thais		466267	442	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466267
466268	Aplanochytrium schizochytrops	(J.A. Quick) C.A. Leander & D. Porter	sp.	Aplanochytrium	schizochytrops		466268	442	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466268
466284	Couchia amphora	W.W. Martin	sp.	Couchia	amphora		466284	1149	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466284
466285	Couchia limnophila	W.W. Martin	sp.	Couchia	limnophila		466285	1151	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466285
466541	Halocrusticida baliensis	Hatai, Roza & T. Nakay.	sp.	Halocrusticida	baliensis		466541	567	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=466541
467419	Pythiogeton zeae	Jee, H.H. Ho & W.D. Cho	sp.	Pythiogeton	zeae		467419	523	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=467419
467732	Phytophthora tropicalis	Aragaki & J.Y. Uchida	sp.	Phytophthora	tropicalis		467732	139	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=467732
467815	Halophytophthora porrigovesica	Nakagiri, Tad. Ito, Manoch & Tantich.	sp.	Halophytophthora	porrigovesica		467815	34	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=467815
467821	Phytophthora oryzo-bladis	J.S. Wang & J.Y. Lu ex H.H. Ho	sp.	Phytophthora	oryzo-bladis		467821	20	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=467821
468184	Artotrogus lycoperdoides	(Bull.) Kuntze	sp.	Artotrogus	lycoperdoides		468184	443	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=468184
472184	Phytophthora fagopyri	S. Takim. ex S. Ito & Tokun.	sp.	Phytophthora	fagopyri		472184	15	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=472184
474133	Phytophthora pistaciae	Mirab.	sp.	Phytophthora	pistaciae		474133	1173	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=474133
474229	Peronosclerospora eriochloae	Ryley & Langdon	sp.	Peronosclerospora	eriochloae		474229	89	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=474229
474412	Pythium contiguanum	B. Paul	sp.	Pythium	contiguanum		474412	108	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=474412
474485	Phytophthora ramorum	Werres, De Cock & Man in 't Veld	sp.	Phytophthora	ramorum		474485	1164	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=474485
474880	Achlya fuegiana	Steciow	sp.	Achlya	fuegiana		474880	1195	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=474880
477269	Plasmopara alpina	(Johanson) A. Blytt	sp.	Plasmopara	alpina		477269	18	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477269
477270	Woronina glomerata	(Cornu) A. Fisch.	sp.	Woronina	glomerata		477270	66	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477270
477272	Ducellieria chodatii	(F. Ducell.) Teiling	sp.	Ducellieria	chodatii		477272	209	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477272
477274	Sclerophthora farlowii	(Griffiths) R.G. Kenneth	sp.	Sclerophthora	farlowii		477274	139	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477274
477275	Rhizidiomyces saprophyticus	(Karling) Karling	sp.	Rhizidiomyces	saprophyticus		477275	394	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477275
477278	Sclerophthora northii	(W. Weston) Thirum., C.G. Shaw & Naras.	sp.	Sclerophthora	northii		477278	300	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477278
