nameID	relatedNameID	type	publishedInID	remarks
118867	251493	Orthographic variant		
118874	581723	Orthographic variant		
118884	317626	Orthographic variant		
118885	209509	Orthographic variant		
118913	546378	Orthographic variant		
118915	233635	Orthographic variant		
118926	293335	Orthographic variant		
118931	535812	Orthographic variant		
118944	503327	Orthographic variant		
118952	193729	Orthographic variant		
118954	535791	Orthographic variant		
118955	315469	Orthographic variant		
118961	535296	Orthographic variant		
118962	320345	Orthographic variant		
118963	334754	Orthographic variant		
118964	316881	Orthographic variant		
119061	544804	Orthographic variant		
119065	247305	Orthographic variant		
119071	223387	Orthographic variant		
119072	135444	Orthographic variant		
119073	245501	Orthographic variant		
119247	307107	Orthographic variant		
119248	214666	Orthographic variant		
119251	118442	Orthographic variant		
119252	175764	Orthographic variant		
119261	185199	Orthographic variant		
119476	300800	Orthographic variant		
119477	631409	Orthographic variant		
119480	146153	Orthographic variant		
119699	364371	Orthographic variant		
119076	288185	Orthographic variant		
119085	627216	Orthographic variant		
119088	216771	Orthographic variant		
119093	322868	Orthographic variant		
119094	535148	Orthographic variant		
119102	153816	Orthographic variant		
119115	306195	Orthographic variant		
119132	340363	Orthographic variant		
119150	535382	Orthographic variant		
119158	300654	Orthographic variant		
119164	164621	Orthographic variant		
119171	342223	Orthographic variant		
119178	623455	Orthographic variant		
119192	433385	Orthographic variant		
119196	294210	Orthographic variant		
119199	225101	Orthographic variant		
119240	312932	Orthographic variant		
119266	293380	Orthographic variant		
119269	271343	Orthographic variant		
119274	300698	Orthographic variant		
119279	291785	Orthographic variant		
119284	560443	Orthographic variant		
119286	533810	Orthographic variant		
119292	535193	Orthographic variant		
119301	424997	Orthographic variant		
119306	306314	Orthographic variant		
119311	535787	Orthographic variant		
119322	164457	Orthographic variant		
119331	284380	Orthographic variant		
119335	296847	Orthographic variant		
119336	161024	Orthographic variant		
119349	145680	Orthographic variant		
119350	240138	Orthographic variant		
119356	300742	Orthographic variant		
119357	300743	Orthographic variant		
119374	254005	Orthographic variant		
119375	274717	Orthographic variant		
119377	177655	Orthographic variant		
119381	184552	Orthographic variant		
119391	275224	Orthographic variant		
119394	330065	Orthographic variant		
119406	300256	Orthographic variant		
119423	345767	Orthographic variant		
119427	300782	Orthographic variant		
119436	188608	Orthographic variant		
119457	535319	Orthographic variant		
119472	221919	Orthographic variant		
119484	294269	Orthographic variant		
119487	172294	Orthographic variant		
119496	631565	Orthographic variant		
119500	567640	Orthographic variant		
119509	632167	Orthographic variant		
119522	288293	Orthographic variant		
119526	104019	Orthographic variant		
119543	278884	Orthographic variant		
119548	318441	Orthographic variant		
119556	292859	Orthographic variant		
119569	293401	Orthographic variant		
119574	300844	Orthographic variant		
119577	327909	Orthographic variant		
119578	333935	Orthographic variant		
119582	299097	Orthographic variant		
119599	569222	Orthographic variant		
119608	293278	Orthographic variant		
119614	174998	Orthographic variant		
119615	560447	Orthographic variant		
119616	332383	Orthographic variant		
119617	229843	Orthographic variant		
119620	313535	Orthographic variant		
119627	291814	Orthographic variant		
119633	454866	Orthographic variant		
119644	502700	Orthographic variant		
119653	106646	Orthographic variant		
119654	284397	Orthographic variant		
119662	622508	Orthographic variant		
119680	171311	Orthographic variant		
119681	180850	Orthographic variant		
119690	541307	Orthographic variant		
119709	323383	Orthographic variant		
119917	313461	Orthographic variant		
119923	339444	Orthographic variant		
119755	565594	Orthographic variant		
119761	225298	Orthographic variant		
119763	289073	Orthographic variant		
119764	206042	Orthographic variant		
119785	588510	Orthographic variant		
119786	588513	Orthographic variant		
119813	536614	Orthographic variant		
119823	113019	Orthographic variant		
119824	335707	Orthographic variant		
119827	585644	Orthographic variant		
119828	233889	Orthographic variant		
119832	233432	Orthographic variant		
119833	321498	Orthographic variant		
119836	303362	Orthographic variant		
119838	232635	Orthographic variant		
119842	241409	Orthographic variant		
119867	585129	Orthographic variant		
119874	172905	Orthographic variant		
119889	226292	Orthographic variant		
119892	168801	Orthographic variant		
119900	580240	Orthographic variant		
119910	222252	Orthographic variant		
119940	157328	Orthographic variant		
119941	161146	Orthographic variant		
119967	542108	Orthographic variant		
119969	242075	Orthographic variant		
119985	320901	Orthographic variant		
119999	245394	Orthographic variant		
120006	149884	Orthographic variant		
120010	633985	Orthographic variant		
120019	502349	Orthographic variant		
120022	161585	Orthographic variant		
120023	285130	Orthographic variant		
120030	328030	Orthographic variant		
120047	340777	Orthographic variant		
120052	626722	Orthographic variant		
120064	259341	Orthographic variant		
120072	374982	Orthographic variant		
120086	627655	Orthographic variant		
120088	177044	Orthographic variant		
120090	634700	Orthographic variant		
120102	188389	Orthographic variant		
120109	536569	Orthographic variant		
120113	156893	Orthographic variant		
120114	530338	Orthographic variant		
120124	287327	Orthographic variant		
120134	248423	Orthographic variant		
120138	356739	Orthographic variant		
120139	147825	Orthographic variant		
120144	151137	Orthographic variant		
120145	568764	Orthographic variant		
120146	232730	Orthographic variant		
120157	307617	Orthographic variant		
120160	148327	Orthographic variant		
120164	334141	Orthographic variant		
120180	292840	Orthographic variant		
120187	261104	Orthographic variant		
120189	213765	Orthographic variant		
120197	193749	Orthographic variant		
120199	503167	Orthographic variant		
120219	534803	Orthographic variant		
120221	261829	Orthographic variant		
120235	628477	Orthographic variant		
120248	340684	Orthographic variant		
120250	262155	Orthographic variant		
120251	262202	Orthographic variant		
120289	493039	Orthographic variant		
120298	262773	Orthographic variant		
120299	288154	Orthographic variant		
120340	306558	Orthographic variant		
120342	288159	Orthographic variant		
120345	326626	Orthographic variant		
120355	263583	Orthographic variant		
120370	344341	Orthographic variant		
120387	497209	Orthographic variant		
120390	535069	Orthographic variant		
120391	106192	Orthographic variant		
120408	536508	Orthographic variant		
120418	164158	Orthographic variant		
120433	143989	Orthographic variant		
120437	264478	Orthographic variant		
120451	627313	Orthographic variant		
120458	635107	Orthographic variant		
120464	536419	Orthographic variant		
120471	149751	Orthographic variant		
120476	630386	Orthographic variant		
120478	265142	Orthographic variant		
120479	147926	Orthographic variant		
120491	154989	Orthographic variant		
120495	155393	Orthographic variant		
120526	535821	Orthographic variant		
120530	284360	Orthographic variant		
120532	139872	Orthographic variant		
120537	303422	Orthographic variant		
120546	237048	Orthographic variant		
120559	195134	Orthographic variant		
120564	631306	Orthographic variant		
120570	300610	Orthographic variant		
120577	206717	Orthographic variant		
120579	287864	Orthographic variant		
120581	285383	Orthographic variant		
120582	296607	Orthographic variant		
120752	293367	Orthographic variant		
120755	534202	Orthographic variant		
120584	330669	Orthographic variant		
120585	266704	Orthographic variant		
120586	197183	Orthographic variant		
120588	299896	Orthographic variant		
120590	248978	Orthographic variant		
120591	274893	Orthographic variant		
120594	266845	Orthographic variant		
120595	537315	Orthographic variant		
120596	266868	Orthographic variant		
120605	193690	Orthographic variant		
120610	245738	Orthographic variant		
120611	267027	Orthographic variant		
120613	335976	Orthographic variant		
120630	622510	Orthographic variant		
120631	623571	Orthographic variant		
120632	627653	Orthographic variant		
120633	627661	Orthographic variant		
120637	534603	Orthographic variant		
120641	252636	Orthographic variant		
120650	586920	Orthographic variant		
