ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
110911	Polyschema bicellularis	Shearer							ICN		
110935	Sphaeria depazaeformis	Auersw.							ICN		
111000	Rozites castanella	E. Horak & G.M. Taylor							ICN		
111003	Rozites pallida	E. Horak & G.M. Taylor							ICN		
111016	Scopuloides septocystidiata	(Burt) Jülich							ICN		
111051	Stachybotrys globosa	P.C. Misra & S.K. Srivast.							ICN		
111150	Berkleasmium micronesicum	Matsush.							ICN		
111172	Californiomyces trina	(Harkn.) U. Braun							ICN		
111184	Capnobotrys atro-olivacea	S. Hughes							ICN		
111186	Capnobotrys laterivecta	S. Hughes							ICN		
111187	Capnobotrys pacifica	S. Hughes							ICN		
111188	Capnobotrys paucispora	S. Hughes							ICN		
111189	Capnobotrys sessilispora	S. Hughes & Y. Hirats.							ICN		
111225	Cetrariastrum limaeforme	(Taylor) W.L. Culb. & C.F. Culb.							ICN		
111246	Chytriomyces macro-operculatus	Karling							ICN		
111264	Clypeostagonospora muehlenbergiae	Punith.							ICN		
111305	Agaricus medusus	V. Brig.							ICN		
111334	Cortinarius kashmiriensis	Watling							ICN		
111431	Diploöspora zinniae	Matsush.							ICN		
111585	Kneiffiella nespori	(Bres.) Jülich & Stalpers							ICN		
111616	Leucoagaricus erioderma	(Malençon) Bon							ICN		
111643	Meruliopsis albostramineus	(Torrend) Jülich & Stalpers							ICN		
111685	Mycovellosiella triseptospora	(J.M. Yen) J.M. Yen							ICN		
111819	Pleurotus armeniascus	Corner							ICN		
111826	Pleurotus lactuosus	Corner							ICN		
111861	Pseudocercospora piricola	(Sawada) J.M. Yen							ICN		
111911	Rhodocybe sphaerosporus	(Peck) T.J. Baroni							ICN		
111970	Tomentellopsis bresadoliana	(Sacc. & Trotter) Jülich & Stalpers							ICN		
112025	Xerotrema megalospora	Sherwood & Coppins							ICN		
112177	Cetrariastrum ecuadoriense	(R. Sant.) Sipman							ICN		
112230	Crocicreas eschscholtziae	(W. Phillips & Harkn.) S.E. Carp.							ICN		
112261	Danaëa ubiensis	Caneva & Rambelli							ICN		
112405	Lecanora texans	W.A. Weber							ICN		
112508	Clavaria dendroidea	Jungh.							ICN		
112731	Plagiocarpa langloissi	R.C. Harris							ICN		
112746	Ascochyta aëridis	Subhedar & V.G. Rao							ICN		
112762	Cercoseptoria ixoriana	(J.M. Yen & Lim) J.M. Yen							ICN		
112941	Galerina acre	Gulden							ICN		
112947	Helicoön chlamydosporum	Abdullah & J. Webster							ICN		
113005	Nematoloma aequatoriae	(Singer) Guzmán							ICN		
113006	Nematoloma alnetorum	(Singer) Guzmán							ICN		
113007	Nematoloma cokerianum	(A.H. Sm. & Hesler) Guzmán							ICN		
113163	Cercospora golaghatii	Saikia & A.K. Sarbhoy							ICN		
113197	Entoloma macnabbianum	E. Horak							ICN		
113200	Nematoloma neocaledonicum	(Guzmán & E. Horak) Guzmán							ICN		
113201	Nematoloma naematoliforme	(Guzmán) Guzmán							ICN		
113274	Microdiplodia zizyphi	Subhedar & V.G. Rao							ICN		
113288	Nematoloma rhombispora	Guzmán							ICN		
113329	Pseudocercospora allemandae	(J.M. Yen) J.M. Yen							ICN		
113455	Stachybotrys sphaerospora	Morgan-Jones & R.C. Sinclair							ICN		
113465	Diheterospora tragenophora	(Drechsler) G.L. Barron							ICN		
113468	Emericella subulata	Y. Horie							ICN		
113521	Fujimyces oödes	(Bayl. Ell.) Minter & Caine							ICN		
113644	Ocellularia leucomelaena	(Nyl.) Hale							ICN		
113792	Heteroporus wynnei	(Berk. & Broome) A. David							ICN		
113890	Myriotrema myriocarpon	(Fée) Hale							ICN		
